year,month,day,Barkley,Center Hill,Cheatham,Cordell Hull,Dale Hollow,J Percy Priest,Old Hickory,Wolf Creek
2016,1,1,10,0,0,0,0,0,0,0
2016,1,2,10,0,0,0,0,0,0,0
2016,1,3,10,0,0,0,0,0,0,0
2016,1,4,10,0,0,0,0,0,0,0
2016,1,5,10,0,0,0,0,0,0,0
2016,1,6,10,0,0,0,0,0,0,0
2016,1,7,10,0,0,0,0,0,0,0
2016,1,8,10,0,0,0,0,0,0,0
2016,1,9,10,0,0,0,0,0,0,0
2016,1,10,10,0,0,0,0,0,0,0
2016,1,11,10,0,0,0,0,0,0,0
2016,1,12,10,0,0,0,0,0,0,0
2016,1,13,10,0,0,0,0,0,0,0
2016,1,14,10,0,0,0,0,0,0,0
2016,1,15,10,0,0,0,0,0,0,0
2016,1,16,10,0,0,0,0,0,0,0
2016,1,17,10,0,0,0,0,0,0,0
2016,1,18,10,0,0,0,0,0,0,0
2016,1,19,10,0,0,0,0,0,0,0
2016,1,20,10,0,0,0,0,0,0,0
2016,1,21,10,0,0,0,0,0,0,0
2016,1,22,10,0,0,0,0,0,0,0
2016,1,23,10,0,0,0,0,0,0,0
2016,1,24,10,0,0,0,0,0,0,0
2016,1,25,10,0,0,0,0,0,0,0
2016,1,26,10,0,0,0,0,0,0,0
2016,1,27,10,0,0,0,0,0,0,0
2016,1,28,10,0,0,0,0,0,0,0
2016,1,29,10,0,0,0,0,0,0,0
2016,1,30,10,0,0,0,0,0,0,0
2016,1,31,10,0,0,0,0,0,0,0
2016,2,1,10,0,0,0,0,0,0,0
2016,2,2,10,0,0,0,0,0,0,0
2016,2,3,10,0,0,0,0,0,0,0
2016,2,4,10,0,0,0,0,0,0,0
2016,2,5,10,0,0,0,0,0,0,0
2016,2,6,10,0,0,0,0,0,0,0
2016,2,7,10,0,0,0,0,0,0,0
2016,2,8,10,0,0,0,0,0,0,0
2016,2,9,10,0,0,0,0,0,0,0
2016,2,10,10,0,0,0,0,0,0,0
2016,2,11,10,0,0,0,0,0,0,0
2016,2,12,10,0,0,0,0,0,0,0
2016,2,13,10,0,0,0,0,0,0,0
2016,2,14,10,0,0,0,0,0,0,0
2016,2,15,10,0,0,0,0,0,0,0
2016,2,16,10,0,0,0,0,0,0,0
2016,2,17,10,0,0,0,0,0,0,0
2016,2,18,10,0,0,0,0,0,0,0
2016,2,19,10,0,0,0,0,0,0,0
2016,2,20,10,0,0,0,0,0,0,0
2016,2,21,10,0,0,0,0,0,0,0
2016,2,22,10,0,0,0,0,0,0,0
2016,2,23,10,0,0,0,0,0,0,0
2016,2,24,10,0,0,0,0,0,0,0
2016,2,25,10,0,0,0,0,0,0,0
2016,2,26,10,0,0,0,0,0,0,0
2016,2,27,10,0,0,0,0,0,0,0
2016,2,28,10,0,0,0,0,0,0,0
2016,3,1,10,0,0,0,0,0,0,0
2016,3,2,10,0,0,0,0,0,0,0
2016,3,3,10,0,0,0,0,0,0,0
2016,3,4,10,0,0,0,0,0,0,0
2016,3,5,10,0,0,0,0,0,0,0
2016,3,6,10,0,0,0,0,0,0,0
2016,3,7,10,0,0,0,0,0,0,0
2016,3,8,10,0,0,0,0,0,0,0
2016,3,9,10,0,0,0,0,0,0,0
2016,3,10,10,0,0,0,0,0,0,0
2016,3,11,10,0,0,0,0,0,0,0
2016,3,12,10,0,0,0,0,0,0,0
2016,3,13,10,0,0,0,0,0,0,0
2016,3,14,10,0,0,0,0,0,0,0
2016,3,15,10,0,0,0,0,0,0,0
2016,3,16,10,0,0,0,0,0,0,0
2016,3,17,10,0,0,0,0,0,0,0
2016,3,18,10,0,0,0,0,0,0,0
