year,month,day,Barkley,Center_Hill,Cheatham,Cordell_Hull,Dale_Hollow,J_Percy_Priest,Old_Hickory,Wolf_Creek
,,,Node1,Node1,Node1,Node1,Node1,Node1,Node1,Node1
2016,1,1,1438,225,276,420,90,90,550,1000
2016,1,2,1438,225,276,420,90,90,550,1000
2016,1,3,1438,225,288,429,45,90,675,1000
2016,1,4,1644,225,336,396,45,90,675,1040
2016,1,5,1678,225,360,396,45,150,725,1000
2016,1,6,1677,135,288,198,15,0,450,400
2016,1,7,1686,135,252,198,15,0,450,400
2016,1,8,1685,225,360,429,15,180,550,1000
2016,1,9,1685,225,312,429,15,180,500,1000
2016,1,10,1683,180,660,745,15,90,1075,1000
2016,1,11,1682,226,684,759,16,90,1325,1000
2016,1,12,1680,225,720,750,15,90,1250,1000
2016,1,13,1680,135,903,330,15,0,975,400
2016,1,14,1646,720,810,528,15,690,1200,400
2016,1,15,1598,1384,922,1374,300,720,2088,3640
2016,1,16,1568,2475,867,1515,660,720,2088,3481
2016,1,17,1574,1532,907,1498,631,480,2109,3840
2016,1,18,1610,630,903,1435,300,300,2119,2160
2016,1,19,1652,990,931,924,302,210,1800,2160
2016,1,20,1685,630,890,795,146,210,1400,2160
2016,1,21,1683,630,768,1101,15,210,1400,2240
2016,1,22,1682,1620,768,1206,15,210,1800,2560
2016,1,23,1681,1434,828,1031,15,150,1400,2640
2016,1,24,1521,1620,889,1035,15,30,1800,2160
2016,1,25,1679,1620,926,1023,15,30,2002,2160
2016,1,26,1505,1620,709,1395,15,210,2081,1200
2016,1,27,1432,765,582,1881,15,210,2015,800
2016,1,28,1333,765,648,594,15,390,1201,800
2016,1,29,1430,1215,767,363,15,720,850,1280
2016,1,30,1472,1215,741,447,15,720,975,1280
2016,1,31,1405,1215,780,462,15,720,1175,1280
2016,2,1,1405,1215,780,462,15,720,1175,1280
2016,2,2,1503,161,274,237,70,55,542,633
2016,2,3,1482,159,254,390,63,34,649,548
2016,2,4,1493,184,293,379,43,49,579,483
2016,2,5,1459,143,267,300,31,14,662,454
2016,2,6,1537,196,334,391,81,147,482,509
2016,2,7,1546,212,324,414,27,174,616,404
2016,2,8,1643,166,282,380,29,83,642,588
2016,2,9,1577,185,279,358,80,31,639,869
2016,2,10,1510,182,312,337,23,93,536,894
2016,2,11,1678,166,343,399,83,155,542,433
2016,2,12,1644,181,286,266,40,69,605,407
2016,2,13,1606,189,310,368,32,109,575,461
2016,2,14,1623,189,325,304,16,5,648,456
2016,2,15,1460,188,318,358,61,122,579,629
2016,2,16,1590,188,274,280,32,85,533,405
2016,2,17,1494,189,279,363,63,127,550,842
2016,2,18,1558,168,260,263,29,126,495,643
2016,2,19,1519,184,259,202,36,118,622,727
2016,2,20,1508,176,290,421,49,34,622,907
2016,2,21,1487,207,313,301,51,34,499,787
2016,2,22,1457,183,319,279,80,30,704,1033
2016,2,23,1539,208,277,379,33,19,551,734
2016,2,24,1484,136,352,409,42,11,707,506
2016,2,25,1590,155,268,323,27,65,636,679
2016,2,26,1586,219,344,392,86,3,650,491
2016,2,27,1530,164,359,366,17,89,624,558
2016,2,28,1479,183,316,295,82,28,459,731
2016,3,1,1658,155,288,203,34,47,673,466
2016,3,2,1475,141,257,250,53,135,551,761
2016,3,3,1660,194,266,373,48,74,491,767
2016,3,4,1455,154,330,308,75,116,695,623
2016,3,5,1606,155,308,247,28,150,692,425
2016,3,6,1641,188,257,333,85,161,612,775
2016,3,7,1639,146,300,383,89,158,684,660
2016,3,8,1461,160,300,252,76,156,705,1012
2016,3,9,1582,147,276,339,48,42,598,546
2016,3,10,1660,187,277,232,56,69,669,690
2016,3,11,1583,158,344,338,32,142,609,587
2016,3,12,1625,207,261,324,18,34,718,856
2016,3,13,1548,213,331,338,58,123,699,821
2016,3,14,1675,172,297,351,68,57,632,617
2016,3,15,1597,188,273,297,44,141,471,480
2016,3,16,1620,175,338,272,15,163,657,961
2016,3,17,1567,177,350,223,15,106,565,936
2016,3,18,1608,192,358,251,82,101,573,419
2016,3,19,1550,162,351,207,78,30,585,916
2016,3,20,1645,157,308,398,86,30,518,663
2016,3,21,1593,155,335,331,83,1,510,526
2016,3,22,1619,165,331,356,38,7,480,908
2016,3,23,1573,225,360,219,20,60,664,549
2016,3,24,1597,213,313,308,15,44,481,917
2016,3,25,1654,225,309,203,26,73,680,803
2016,3,26,1446,137,295,260,89,47,534,428
2016,3,27,1462,172,341,258,42,1,490,596
2016,3,28,1545,154,357,310,41,27,459,526
2016,3,29,1641,150,276,272,45,130,484,850
2016,3,30,1469,201,320,212,75,50,502,817
2016,3,31,1483,222,311,215,79,86,713,628
2016,4,1,1541,194,312,222,47,102,703,872
2016,4,2,1506,204,324,201,21,138,565,420
2016,4,3,1665,195,277,375,71,162,496,969
2016,4,4,1491,197,326,203,71,69,489,955
2016,4,5,1447,160,277,297,76,32,682,468
2016,4,6,1555,224,291,428,73,21,690,520
2016,4,7,1657,217,319,202,86,28,464,929
2016,4,8,1562,184,357,205,55,174,722,693
2016,4,9,1592,184,253,420,18,50,561,934
2016,4,10,1524,164,357,259,80,101,696,693
2016,4,11,1537,178,305,298,77,39,626,791
2016,4,12,1444,148,311,217,52,23,661,1006
2016,4,13,1681,154,328,206,41,6,564,869
2016,4,14,1544,172,358,279,83,22,669,656
2016,4,15,1536,156,338,275,72,79,610,798
2016,4,16,1522,185,278,265,25,81,677,997
2016,4,17,1621,159,335,372,57,174,488,803
2016,4,18,1629,203,296,222,22,153,634,963
