name,unit_type,fuel_type,fuel_price_optional
HongsaLigniteU1,coal,coal,5
HongsaLigniteU2,coal,coal,5
HongsaLigniteU3,coal,coal,5
Mitlao,biomass,biomass,1.5
HougAnh,biomass,biomass,1.5
ChinMengLa,import_cn,import_cn,60
EGATBungkan,import_th,import_th,200
EGATMukdahan,import_th,import_th,200
EGATRoiEt2,slack,slack,1000
EGATUbon2,slack,slack,1000
EGATUdon3,slack,slack,1000
VietPleiKu,slack,slack,1000
Nasaithong,slack,slack,1000
EGATNongKhai,slack,slack,1000
EGATMaeMoh,slack,slack,1000
EGATNakhouPhanom,slack,slack,1000
EGATSakonNakhou,slack,slack,1000
VietThanhMy,slack,slack,1000
CambKhampongsalao,slack,slack,1000
EGATSirindhorn,import_th,import_th,40
NamMang1,hydro,hydro,0
NamNgiep2C,hydro,hydro,0
NamSan3B,hydro,hydro,0
HouayLamphan,hydro,hydro,0
Xenamnoy6,hydro,hydro,0
Xenamnoy1,hydro,hydro,0
NamOu6,hydro,hydro,0
HouayHo,hydro,hydro,0
NamOu5,hydro,hydro,0
NamOu2,hydro,hydro,0
NamKhan3,hydro,hydro,0
NamKhan2,hydro,hydro,0
NamSana,hydro,hydro,0
NamLik1n2,hydro,hydro,0
NamNgum5,hydro,hydro,0
NamNgum2,hydro,hydro,0
Xekaman3,hydro,hydro,0
NamNgum1,hydro,hydro,0
NamLeuk,hydro,hydro,0
NamMang3,hydro,hydro,0
NamNgiep2,hydro,hydro,0
NamNgiep3A,hydro,hydro,0
NamSan3A,hydro,hydro,0
NamTheun2,hydro,hydro,0
Xekaman1,hydro,hydro,0
TheunHinboun,hydro,hydro,0
Xeset1,hydro,hydro,0
Xeset3,hydro,hydro,0
Xeset2,hydro,hydro,0
Salabam,hydro,hydro,0
