solar_unit,gas_unit,ess
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
39.96471686,125,0
