year,month,day,hour,Node1,Node2
2016,1,1,1,401.8,58.4
2016,1,1,2,390.9,56.8
2016,1,1,3,375.7,54.6
2016,1,1,4,367.3,53.3
2016,1,1,5,365.6,53.1
2016,1,1,6,375.3,54.5
2016,1,1,7,449.8,65.4
2016,1,1,8,536.4,78
2016,1,1,9,580.6,84.4
2016,1,1,10,581.2,84.5
2016,1,1,11,554.2,80.5
2016,1,1,12,531.9,77.3
2016,1,1,13,578.7,84.1
2016,1,1,14,600.2,87.2
2016,1,1,15,575.5,83.6
2016,1,1,16,546.4,79.5
2016,1,1,17,496.6,72.1
2016,1,1,18,478.3,69.5
2016,1,1,19,508.4,73.9
2016,1,1,20,510.3,74.1
2016,1,1,21,521.3,75.8
2016,1,1,22,486.7,70.8
2016,1,1,23,447.7,65
2016,1,1,24,424.4,61.7
2016,1,2,1,361.6,52.5
2016,1,2,2,351.7,51.2
2016,1,2,3,338.2,49.2
2016,1,2,4,330.5,48
2016,1,2,5,329.1,47.8
2016,1,2,6,337.7,49.1
2016,1,2,7,404.8,58.8
2016,1,2,8,482.8,70.2
2016,1,2,9,522.5,75.9
2016,1,2,10,523.2,76
2016,1,2,11,498.7,72.5
2016,1,2,12,478.7,69.5
2016,1,2,13,520.9,75.7
2016,1,2,14,540.2,78.5
2016,1,2,15,517.9,75.3
2016,1,2,16,491.8,71.5
2016,1,2,17,446.9,64.9
2016,1,2,18,430.5,62.5
2016,1,2,19,457.6,66.5
2016,1,2,20,459.3,66.7
2016,1,2,21,469.1,68.2
2016,1,2,22,438.1,63.7
2016,1,2,23,402.9,58.6
2016,1,2,24,382,55.5
2016,1,3,1,361.6,52.5
2016,1,3,2,351.7,51.2
2016,1,3,3,338.2,49.2
2016,1,3,4,330.5,48
2016,1,3,5,329.1,47.8
2016,1,3,6,337.7,49.1
2016,1,3,7,404.8,58.8
2016,1,3,8,482.8,70.2
2016,1,3,9,522.5,75.9
2016,1,3,10,523.2,76
2016,1,3,11,498.7,72.5
2016,1,3,12,478.7,69.5
2016,1,3,13,520.9,75.7
2016,1,3,14,540.2,78.5
2016,1,3,15,517.9,75.3
2016,1,3,16,491.8,71.5
2016,1,3,17,446.9,64.9
2016,1,3,18,430.5,62.5
2016,1,3,19,457.6,66.5
2016,1,3,20,459.3,66.7
2016,1,3,21,469.1,68.2
2016,1,3,22,438.1,63.7
2016,1,3,23,402.9,58.6
2016,1,3,24,382,55.5
2016,1,4,1,401.8,58.4
2016,1,4,2,390.9,56.8
2016,1,4,3,375.7,54.6
2016,1,4,4,367.3,53.3
2016,1,4,5,365.6,53.1
2016,1,4,6,375.3,54.5
2016,1,4,7,449.8,65.4
2016,1,4,8,536.4,78
2016,1,4,9,580.6,84.4
2016,1,4,10,581.2,84.5
2016,1,4,11,554.2,80.5
2016,1,4,12,531.9,77.3
2016,1,4,13,578.7,84.1
2016,1,4,14,600.2,87.2
2016,1,4,15,575.5,83.6
2016,1,4,16,546.4,79.5
2016,1,4,17,496.6,72.1
2016,1,4,18,478.3,69.5
2016,1,4,19,508.4,73.9
2016,1,4,20,510.3,74.1
2016,1,4,21,521.3,75.8
2016,1,4,22,486.7,70.8
2016,1,4,23,447.7,65
2016,1,4,24,424.4,61.7
2016,1,5,1,401.8,58.4
2016,1,5,2,390.9,56.8
2016,1,5,3,375.7,54.6
2016,1,5,4,367.3,53.3
2016,1,5,5,365.6,53.1
2016,1,5,6,375.3,54.5
2016,1,5,7,449.8,65.4
2016,1,5,8,536.4,78
2016,1,5,9,580.6,84.4
2016,1,5,10,581.2,84.5
2016,1,5,11,554.2,80.5
2016,1,5,12,531.9,77.3
2016,1,5,13,578.7,84.1
2016,1,5,14,600.2,87.2
2016,1,5,15,575.5,83.6
2016,1,5,16,546.4,79.5
2016,1,5,17,496.6,72.1
2016,1,5,18,478.3,69.5
2016,1,5,19,508.4,73.9
2016,1,5,20,510.3,74.1
2016,1,5,21,521.3,75.8
2016,1,5,22,486.7,70.8
2016,1,5,23,447.7,65
2016,1,5,24,424.4,61.7
2016,1,6,1,401.8,58.4
2016,1,6,2,390.9,56.8
2016,1,6,3,375.7,54.6
2016,1,6,4,367.3,53.3
2016,1,6,5,365.6,53.1
2016,1,6,6,375.3,54.5
2016,1,6,7,449.8,65.4
2016,1,6,8,536.4,78
2016,1,6,9,580.6,84.4
2016,1,6,10,581.2,84.5
2016,1,6,11,554.2,80.5
2016,1,6,12,531.9,77.3
2016,1,6,13,578.7,84.1
2016,1,6,14,600.2,87.2
2016,1,6,15,575.5,83.6
2016,1,6,16,546.4,79.5
2016,1,6,17,496.6,72.1
2016,1,6,18,478.3,69.5
