year,month,day,hour,Node1,Node2,Buyer
2016,1,1,1,200.9,29.2,12.4155
2016,1,1,2,195.45,28.4,12.4155
2016,1,1,3,187.85,27.3,12.4155
2016,1,1,4,183.65,26.65,12.4155
2016,1,1,5,182.8,26.55,12.4155
2016,1,1,6,187.65,27.25,12.4155
2016,1,1,7,224.9,32.7,12.4155
2016,1,1,8,268.2,39,12.4155
2016,1,1,9,290.3,42.2,12.4155
2016,1,1,10,290.6,42.25,12.4155
2016,1,1,11,277.1,40.25,12.4155
2016,1,1,12,265.95,38.65,12.4155
2016,1,1,13,289.35,42.05,12.4155
2016,1,1,14,300.1,43.6,12.4155
2016,1,1,15,287.75,41.8,12.4155
2016,1,1,16,273.2,39.75,12.4155
2016,1,1,17,248.3,36.05,12.4155
2016,1,1,18,239.15,34.75,12.4155
2016,1,1,19,254.2,36.95,12.4155
2016,1,1,20,255.15,37.05,12.4155
2016,1,1,21,260.65,37.9,12.4155
2016,1,1,22,243.35,35.4,12.4155
2016,1,1,23,223.85,32.5,12.4155
2016,1,1,24,212.2,30.85,12.4155
2016,1,2,1,180.8,26.25,12.2895
2016,1,2,2,175.85,25.6,12.2895
2016,1,2,3,169.1,24.6,12.2895
2016,1,2,4,165.25,24,12.2895
2016,1,2,5,164.55,23.9,12.2895
2016,1,2,6,168.85,24.55,12.2895
2016,1,2,7,202.4,29.4,12.2895
2016,1,2,8,241.4,35.1,12.2895
2016,1,2,9,261.25,37.95,12.2895
2016,1,2,10,261.6,38,12.2895
2016,1,2,11,249.35,36.25,12.2895
2016,1,2,12,239.35,34.75,12.2895
2016,1,2,13,260.45,37.85,12.2895
2016,1,2,14,270.1,39.25,12.2895
2016,1,2,15,258.95,37.65,12.2895
2016,1,2,16,245.9,35.75,12.2895
2016,1,2,17,223.45,32.45,12.2895
2016,1,2,18,215.25,31.25,12.2895
2016,1,2,19,228.8,33.25,12.2895
2016,1,2,20,229.65,33.35,12.2895
2016,1,2,21,234.55,34.1,12.2895
2016,1,2,22,219.05,31.85,12.2895
2016,1,2,23,201.45,29.3,12.2895
2016,1,2,24,191,27.75,12.2895
2016,1,3,1,180.8,26.25,12.1635
2016,1,3,2,175.85,25.6,12.1635
2016,1,3,3,169.1,24.6,12.1635
2016,1,3,4,165.25,24,12.1635
2016,1,3,5,164.55,23.9,12.1635
2016,1,3,6,168.85,24.55,12.1635
2016,1,3,7,202.4,29.4,12.1635
2016,1,3,8,241.4,35.1,12.1635
2016,1,3,9,261.25,37.95,12.1635
2016,1,3,10,261.6,38,12.1635
2016,1,3,11,249.35,36.25,12.1635
2016,1,3,12,239.35,34.75,12.1635
2016,1,3,13,260.45,37.85,12.1635
2016,1,3,14,270.1,39.25,12.1635
2016,1,3,15,258.95,37.65,12.1635
2016,1,3,16,245.9,35.75,12.1635
2016,1,3,17,223.45,32.45,12.1635
2016,1,3,18,215.25,31.25,12.1635
2016,1,3,19,228.8,33.25,12.1635
2016,1,3,20,229.65,33.35,12.1635
2016,1,3,21,234.55,34.1,12.1635
2016,1,3,22,219.05,31.85,12.1635
2016,1,3,23,201.45,29.3,12.1635
2016,1,3,24,191,27.75,12.1635
2016,1,4,1,200.9,29.2,9.8325
2016,1,4,2,195.45,28.4,9.8325
2016,1,4,3,187.85,27.3,9.8325
2016,1,4,4,183.65,26.65,9.8325
2016,1,4,5,182.8,26.55,9.8325
2016,1,4,6,187.65,27.25,9.8325
2016,1,4,7,224.9,32.7,9.8325
2016,1,4,8,268.2,39,9.8325
2016,1,4,9,290.3,42.2,9.8325
2016,1,4,10,290.6,42.25,9.8325
2016,1,4,11,277.1,40.25,9.8325
2016,1,4,12,265.95,38.65,9.8325
2016,1,4,13,289.35,42.05,9.8325
2016,1,4,14,300.1,43.6,9.8325
2016,1,4,15,287.75,41.8,9.8325
2016,1,4,16,273.2,39.75,9.8325
