pGas,pBiomass,kirirom,atay,kamchay
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
5.85,7.85,1,1.5,0.5
