Node1,Node2
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
200.9,29.2
195.45,28.4
187.85,27.3
183.65,26.65
182.8,26.55
187.65,27.25
224.9,32.7
268.2,39
290.3,42.2
290.6,42.25
277.1,40.25
265.95,38.65
289.35,42.05
300.1,43.6
287.75,41.8
273.2,39.75
248.3,36.05
239.15,34.75
254.2,36.95
255.15,37.05
260.65,37.9
243.35,35.4
223.85,32.5
212.2,30.85
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
180.8,26.25
175.85,25.6
169.1,24.6
165.25,24
164.55,23.9
168.85,24.55
202.4,29.4
241.4,35.1
261.25,37.95
261.6,38
249.35,36.25
239.35,34.75
260.45,37.85
270.1,39.25
258.95,37.65
245.9,35.75
223.45,32.45
215.25,31.25
228.8,33.25
229.65,33.35
234.55,34.1
219.05,31.85
201.45,29.3
191,27.75
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
199.25,28.95
193.8,28.2
186.35,27.1
182.15,26.45
181.3,26.35
186.1,27.05
223,32.4
266,38.7
287.9,41.8
288.2,41.85
274.8,39.95
263.75,38.3
287,41.7
297.6,43.25
285.4,41.45
271,39.35
246.3,35.8
237.15,34.45
252.15,36.65
253,36.75
258.45,37.6
241.4,35.1
222,32.25
210.5,30.6
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
217.2,31.6
199.85,29
189.45,27.5
179.35,26.05
174.4,25.35
167.7,24.4
163.9,23.8
163.2,23.7
167.45,24.35
200.7,29.2
239.4,34.75
259.05,37.65
259.4,37.7
247.35,35.95
237.35,34.5
258.3,37.55
267.85,38.95
256.85,37.3
243.9,35.45
221.65,32.2
213.45,31
226.9,33
227.75,33.1
232.6,33.85
