year,month,day,hour,Supplier
2016,1,1,1,18.68
2016,1,1,2,18.68
2016,1,1,3,18.68
2016,1,1,4,18.68
2016,1,1,5,18.68
2016,1,1,6,18.68
2016,1,1,7,18.68
2016,1,1,8,18.68
2016,1,1,9,18.68
2016,1,1,10,18.68
2016,1,1,11,18.68
2016,1,1,12,18.68
2016,1,1,13,18.68
2016,1,1,14,18.68
2016,1,1,15,18.68
2016,1,1,16,18.68
2016,1,1,17,18.68
2016,1,1,18,18.68
2016,1,1,19,18.68
2016,1,1,20,18.68
2016,1,1,21,18.68
2016,1,1,22,18.68
2016,1,1,23,18.68
2016,1,1,24,18.68
2016,1,2,1,17.13
2016,1,2,2,17.13
2016,1,2,3,17.13
2016,1,2,4,17.13
2016,1,2,5,17.13
2016,1,2,6,17.13
2016,1,2,7,17.13
2016,1,2,8,17.13
2016,1,2,9,17.13
2016,1,2,10,17.13
2016,1,2,11,17.13
2016,1,2,12,17.13
2016,1,2,13,17.13
2016,1,2,14,17.13
2016,1,2,15,17.13
2016,1,2,16,17.13
2016,1,2,17,17.13
2016,1,2,18,17.13
2016,1,2,19,17.13
2016,1,2,20,17.13
2016,1,2,21,17.13
2016,1,2,22,17.13
2016,1,2,23,17.13
2016,1,2,24,17.13
2016,1,3,1,16.24
2016,1,3,2,16.24
2016,1,3,3,16.24
2016,1,3,4,16.24
2016,1,3,5,16.24
2016,1,3,6,16.24
2016,1,3,7,16.24
2016,1,3,8,16.24
2016,1,3,9,16.24
2016,1,3,10,16.24
2016,1,3,11,16.24
2016,1,3,12,16.24
2016,1,3,13,16.24
2016,1,3,14,16.24
2016,1,3,15,16.24
2016,1,3,16,16.24
2016,1,3,17,16.24
2016,1,3,18,16.24
2016,1,3,19,16.24
2016,1,3,20,16.24
2016,1,3,21,16.24
2016,1,3,22,16.24
2016,1,3,23,16.24
2016,1,3,24,16.24
2016,1,4,1,15.59
2016,1,4,2,15.59
2016,1,4,3,15.59
2016,1,4,4,15.59
2016,1,4,5,15.59
2016,1,4,6,15.59
2016,1,4,7,15.59
2016,1,4,8,15.59
2016,1,4,9,15.59
2016,1,4,10,15.59
2016,1,4,11,15.59
2016,1,4,12,15.59
2016,1,4,13,15.59
2016,1,4,14,15.59
2016,1,4,15,15.59
2016,1,4,16,15.59
2016,1,4,17,15.59
2016,1,4,18,15.59
2016,1,4,19,15.59
2016,1,4,20,15.59
2016,1,4,21,15.59
2016,1,4,22,15.59
2016,1,4,23,15.59
2016,1,4,24,15.59
2016,1,5,1,13.95
2016,1,5,2,13.95
2016,1,5,3,13.95
2016,1,5,4,13.95
2016,1,5,5,13.95
2016,1,5,6,13.95
2016,1,5,7,13.95
2016,1,5,8,13.95
2016,1,5,9,13.95
2016,1,5,10,13.95
2016,1,5,11,13.95
2016,1,5,12,13.95
2016,1,5,13,13.95
2016,1,5,14,13.95
2016,1,5,15,13.95
2016,1,5,16,13.95
2016,1,5,17,13.95
2016,1,5,18,13.95
2016,1,5,19,13.95
2016,1,5,20,13.95
2016,1,5,21,13.95
2016,1,5,22,13.95
2016,1,5,23,13.95
2016,1,5,24,13.95
2016,1,6,1,12.27
2016,1,6,2,12.27
2016,1,6,3,12.27
2016,1,6,4,12.27
2016,1,6,5,12.27
2016,1,6,6,12.27
2016,1,6,7,12.27
2016,1,6,8,12.27
2016,1,6,9,12.27
2016,1,6,10,12.27
2016,1,6,11,12.27
2016,1,6,12,12.27
2016,1,6,13,12.27
2016,1,6,14,12.27
2016,1,6,15,12.27
2016,1,6,16,12.27
2016,1,6,17,12.27
2016,1,6,18,12.27
2016,1,6,19,12.27
2016,1,6,20,12.27
2016,1,6,21,12.27
2016,1,6,22,12.27
2016,1,6,23,12.27
2016,1,6,24,12.27
2016,1,7,1,11.35
2016,1,7,2,11.35
2016,1,7,3,11.35
2016,1,7,4,11.35
2016,1,7,5,11.35
2016,1,7,6,11.35
2016,1,7,7,11.35
2016,1,7,8,11.35
2016,1,7,9,11.35
2016,1,7,10,11.35
2016,1,7,11,11.35
2016,1,7,12,11.35
2016,1,7,13,11.35
2016,1,7,14,11.35
2016,1,7,15,11.35
2016,1,7,16,11.35
2016,1,7,17,11.35
2016,1,7,18,11.35
2016,1,7,19,11.35
2016,1,7,20,11.35
2016,1,7,21,11.35
2016,1,7,22,11.35
2016,1,7,23,11.35
2016,1,7,24,11.35
2016,1,8,1,17.16
2016,1,8,2,17.16
2016,1,8,3,17.16
2016,1,8,4,17.16
2016,1,8,5,17.16
2016,1,8,6,17.16
2016,1,8,7,17.16
2016,1,8,8,17.16
2016,1,8,9,17.16
2016,1,8,10,17.16
2016,1,8,11,17.16
2016,1,8,12,17.16
2016,1,8,13,17.16
2016,1,8,14,17.16
2016,1,8,15,17.16
2016,1,8,16,17.16
2016,1,8,17,17.16
2016,1,8,18,17.16
2016,1,8,19,17.16
2016,1,8,20,17.16
2016,1,8,21,17.16
2016,1,8,22,17.16
2016,1,8,23,17.16
2016,1,8,24,17.16
2016,1,9,1,29.51
2016,1,9,2,29.51
2016,1,9,3,29.51
2016,1,9,4,29.51
2016,1,9,5,29.51
2016,1,9,6,29.51
2016,1,9,7,29.51
2016,1,9,8,29.51
2016,1,9,9,29.51
2016,1,9,10,29.51
2016,1,9,11,29.51
2016,1,9,12,29.51
2016,1,9,13,29.51
2016,1,9,14,29.51
2016,1,9,15,29.51
2016,1,9,16,29.51
2016,1,9,17,29.51
2016,1,9,18,29.51
2016,1,9,19,29.51
2016,1,9,20,29.51
