year,month,day,hour,pHydro
,,,,pHydro
2016,1,1,1,55.18
2016,1,1,2,55.18
2016,1,1,3,55.18
2016,1,1,4,55.18
2016,1,1,5,55.18
2016,1,1,6,55.18
2016,1,1,7,55.18
2016,1,1,8,55.18
2016,1,1,9,55.18
2016,1,1,10,55.18
2016,1,1,11,55.18
2016,1,1,12,55.18
2016,1,1,13,55.18
2016,1,1,14,55.18
2016,1,1,15,55.18
2016,1,1,16,55.18
2016,1,1,17,55.18
2016,1,1,18,55.18
2016,1,1,19,55.18
2016,1,1,20,55.18
2016,1,1,21,55.18
2016,1,1,22,55.18
2016,1,1,23,55.18
2016,1,1,24,55.18
2016,1,2,1,54.62
2016,1,2,2,54.62
2016,1,2,3,54.62
2016,1,2,4,54.62
2016,1,2,5,54.62
2016,1,2,6,54.62
2016,1,2,7,54.62
2016,1,2,8,54.62
2016,1,2,9,54.62
2016,1,2,10,54.62
2016,1,2,11,54.62
2016,1,2,12,54.62
2016,1,2,13,54.62
2016,1,2,14,54.62
2016,1,2,15,54.62
2016,1,2,16,54.62
2016,1,2,17,54.62
2016,1,2,18,54.62
2016,1,2,19,54.62
2016,1,2,20,54.62
2016,1,2,21,54.62
2016,1,2,22,54.62
2016,1,2,23,54.62
2016,1,2,24,54.62
2016,1,3,1,54.06
2016,1,3,2,54.06
2016,1,3,3,54.06
2016,1,3,4,54.06
2016,1,3,5,54.06
2016,1,3,6,54.06
2016,1,3,7,54.06
2016,1,3,8,54.06
2016,1,3,9,54.06
2016,1,3,10,54.06
2016,1,3,11,54.06
2016,1,3,12,54.06
2016,1,3,13,54.06
2016,1,3,14,54.06
2016,1,3,15,54.06
2016,1,3,16,54.06
2016,1,3,17,54.06
2016,1,3,18,54.06
2016,1,3,19,54.06
2016,1,3,20,54.06
2016,1,3,21,54.06
2016,1,3,22,54.06
2016,1,3,23,54.06
2016,1,3,24,54.06
2016,1,4,1,43.7
2016,1,4,2,43.7
2016,1,4,3,43.7
2016,1,4,4,43.7
2016,1,4,5,43.7
2016,1,4,6,43.7
2016,1,4,7,43.7
2016,1,4,8,43.7
2016,1,4,9,43.7
2016,1,4,10,43.7
2016,1,4,11,43.7
2016,1,4,12,43.7
2016,1,4,13,43.7
2016,1,4,14,43.7
2016,1,4,15,43.7
2016,1,4,16,43.7
2016,1,4,17,43.7
2016,1,4,18,43.7
2016,1,4,19,43.7
2016,1,4,20,43.7
2016,1,4,21,43.7
2016,1,4,22,43.7
2016,1,4,23,43.7
2016,1,4,24,43.7
2016,1,5,1,41.04
2016,1,5,2,41.04
2016,1,5,3,41.04
2016,1,5,4,41.04
2016,1,5,5,41.04
2016,1,5,6,41.04
2016,1,5,7,41.04
2016,1,5,8,41.04
2016,1,5,9,41.04
2016,1,5,10,41.04
2016,1,5,11,41.04
2016,1,5,12,41.04
2016,1,5,13,41.04
2016,1,5,14,41.04
2016,1,5,15,41.04
2016,1,5,16,41.04
2016,1,5,17,41.04
2016,1,5,18,41.04
2016,1,5,19,41.04
2016,1,5,20,41.04
2016,1,5,21,41.04
2016,1,5,22,41.04
2016,1,5,23,41.04
2016,1,5,24,41.04
2016,1,6,1,40.3
2016,1,6,2,40.3
2016,1,6,3,40.3
2016,1,6,4,40.3
2016,1,6,5,40.3
2016,1,6,6,40.3
2016,1,6,7,40.3
2016,1,6,8,40.3
2016,1,6,9,40.3
2016,1,6,10,40.3
2016,1,6,11,40.3
2016,1,6,12,40.3
2016,1,6,13,40.3
2016,1,6,14,40.3
2016,1,6,15,40.3
2016,1,6,16,40.3
2016,1,6,17,40.3
2016,1,6,18,40.3
2016,1,6,19,40.3
2016,1,6,20,40.3
2016,1,6,21,40.3
2016,1,6,22,40.3
2016,1,6,23,40.3
2016,1,6,24,40.3
2016,1,7,1,39.58
2016,1,7,2,39.58
2016,1,7,3,39.58
2016,1,7,4,39.58
2016,1,7,5,39.58
2016,1,7,6,39.58
2016,1,7,7,39.58
2016,1,7,8,39.58
2016,1,7,9,39.58
2016,1,7,10,39.58
2016,1,7,11,39.58
2016,1,7,12,39.58
2016,1,7,13,39.58
2016,1,7,14,39.58
2016,1,7,15,39.58
2016,1,7,16,39.58
2016,1,7,17,39.58
2016,1,7,18,39.58
2016,1,7,19,39.58
2016,1,7,20,39.58
2016,1,7,21,39.58
2016,1,7,22,39.58
2016,1,7,23,39.58
2016,1,7,24,39.58
2016,1,8,1,38.88
2016,1,8,2,38.88
2016,1,8,3,38.88
2016,1,8,4,38.88
2016,1,8,5,38.88
2016,1,8,6,38.88
2016,1,8,7,38.88
2016,1,8,8,38.88
2016,1,8,9,38.88
2016,1,8,10,38.88
2016,1,8,11,38.88
2016,1,8,12,38.88
2016,1,8,13,38.88
2016,1,8,14,38.88
2016,1,8,15,38.88
2016,1,8,16,38.88
2016,1,8,17,38.88
2016,1,8,18,38.88
2016,1,8,19,38.88
2016,1,8,20,38.88
2016,1,8,21,38.88
2016,1,8,22,38.88
2016,1,8,23,38.88
2016,1,8,24,38.88
2016,1,9,1,38.22
2016,1,9,2,38.22
2016,1,9,3,38.22
2016,1,9,4,38.22
2016,1,9,5,38.22
2016,1,9,6,38.22
2016,1,9,7,38.22
2016,1,9,8,38.22
2016,1,9,9,38.22
2016,1,9,10,38.22
2016,1,9,11,38.22
2016,1,9,12,38.22
2016,1,9,13,38.22
2016,1,9,14,38.22
2016,1,9,15,38.22
2016,1,9,16,38.22
2016,1,9,17,38.22
2016,1,9,18,38.22
2016,1,9,19,38.22
2016,1,9,20,38.22
2016,1,9,21,38.22
2016,1,9,22,38.22
2016,1,9,23,38.22
2016,1,9,24,38.22
2016,1,10,1,37.58
2016,1,10,2,37.58
2016,1,10,3,37.58
2016,1,10,4,37.58
2016,1,10,5,37.58
2016,1,10,6,37.58
2016,1,10,7,37.58
2016,1,10,8,37.58
2016,1,10,9,37.58
2016,1,10,10,37.58
2016,1,10,11,37.58
2016,1,10,12,37.58
2016,1,10,13,37.58
2016,1,10,14,37.58
2016,1,10,15,37.58
2016,1,10,16,37.58
2016,1,10,17,37.58
2016,1,10,18,37.58
2016,1,10,19,37.58
2016,1,10,20,37.58
2016,1,10,21,37.58
2016,1,10,22,37.58
2016,1,10,23,37.58
2016,1,10,24,37.58
2016,1,11,1,36.96
2016,1,11,2,36.96
2016,1,11,3,36.96
2016,1,11,4,36.96
2016,1,11,5,36.96
2016,1,11,6,36.96
2016,1,11,7,36.96
2016,1,11,8,36.96
2016,1,11,9,36.96
2016,1,11,10,36.96
2016,1,11,11,36.96
2016,1,11,12,36.96
2016,1,11,13,36.96
2016,1,11,14,36.96
2016,1,11,15,36.96
2016,1,11,16,36.96
2016,1,11,17,36.96
2016,1,11,18,36.96
2016,1,11,19,36.96
2016,1,11,20,36.96
2016,1,11,21,36.96
2016,1,11,22,36.96
2016,1,11,23,36.96
2016,1,11,24,36.96
2016,1,12,1,36.34
2016,1,12,2,36.34
2016,1,12,3,36.34
2016,1,12,4,36.34
2016,1,12,5,36.34
2016,1,12,6,36.34
2016,1,12,7,36.34
2016,1,12,8,36.34
2016,1,12,9,36.34
2016,1,12,10,36.34
2016,1,12,11,36.34
2016,1,12,12,36.34
2016,1,12,13,36.34
2016,1,12,14,36.34
2016,1,12,15,36.34
2016,1,12,16,36.34
2016,1,12,17,36.34
2016,1,12,18,36.34
2016,1,12,19,36.34
2016,1,12,20,36.34
2016,1,12,21,36.34
2016,1,12,22,36.34
2016,1,12,23,36.34
2016,1,12,24,36.34
2016,1,13,1,35.76
2016,1,13,2,35.76
2016,1,13,3,35.76
2016,1,13,4,35.76
2016,1,13,5,35.76
2016,1,13,6,35.76
2016,1,13,7,35.76
2016,1,13,8,35.76
2016,1,13,9,35.76
2016,1,13,10,35.76
2016,1,13,11,35.76
2016,1,13,12,35.76
2016,1,13,13,35.76
2016,1,13,14,35.76
2016,1,13,15,35.76
2016,1,13,16,35.76
2016,1,13,17,35.76
2016,1,13,18,35.76
2016,1,13,19,35.76
2016,1,13,20,35.76
2016,1,13,21,35.76
2016,1,13,22,35.76
2016,1,13,23,35.76
2016,1,13,24,35.76
2016,1,14,1,35.2
2016,1,14,2,35.2
2016,1,14,3,35.2
2016,1,14,4,35.2
2016,1,14,5,35.2
2016,1,14,6,35.2
2016,1,14,7,35.2
2016,1,14,8,35.2
2016,1,14,9,35.2
2016,1,14,10,35.2
2016,1,14,11,35.2
2016,1,14,12,35.2
2016,1,14,13,35.2
2016,1,14,14,35.2
2016,1,14,15,35.2
2016,1,14,16,35.2
2016,1,14,17,35.2
2016,1,14,18,35.2
2016,1,14,19,35.2
2016,1,14,20,35.2
2016,1,14,21,35.2
2016,1,14,22,35.2
2016,1,14,23,35.2
2016,1,14,24,35.2
2016,1,15,1,34.66
2016,1,15,2,34.66
2016,1,15,3,34.66
2016,1,15,4,34.66
2016,1,15,5,34.66
2016,1,15,6,34.66
2016,1,15,7,34.66
2016,1,15,8,34.66
2016,1,15,9,34.66
2016,1,15,10,34.66
2016,1,15,11,34.66
2016,1,15,12,34.66
2016,1,15,13,34.66
2016,1,15,14,34.66
2016,1,15,15,34.66
2016,1,15,16,34.66
2016,1,15,17,34.66
2016,1,15,18,34.66
2016,1,15,19,34.66
2016,1,15,20,34.66
2016,1,15,21,34.66
2016,1,15,22,34.66
2016,1,15,23,34.66
2016,1,15,24,34.66
2016,1,16,1,34.14
2016,1,16,2,34.14
2016,1,16,3,34.14
2016,1,16,4,34.14
2016,1,16,5,34.14
2016,1,16,6,34.14
2016,1,16,7,34.14
2016,1,16,8,34.14
2016,1,16,9,34.14
2016,1,16,10,34.14
2016,1,16,11,34.14
2016,1,16,12,34.14
2016,1,16,13,34.14
2016,1,16,14,34.14
2016,1,16,15,34.14
2016,1,16,16,34.14
2016,1,16,17,34.14
2016,1,16,18,34.14
2016,1,16,19,34.14
2016,1,16,20,34.14
2016,1,16,21,34.14
2016,1,16,22,34.14
2016,1,16,23,34.14
2016,1,16,24,34.14
2016,1,17,1,33.64
2016,1,17,2,33.64
2016,1,17,3,33.64
2016,1,17,4,33.64
2016,1,17,5,33.64
2016,1,17,6,33.64
2016,1,17,7,33.64
2016,1,17,8,33.64
2016,1,17,9,33.64
2016,1,17,10,33.64
2016,1,17,11,33.64
2016,1,17,12,33.64
2016,1,17,13,33.64
2016,1,17,14,33.64
2016,1,17,15,33.64
2016,1,17,16,33.64
2016,1,17,17,33.64
2016,1,17,18,33.64
2016,1,17,19,33.64
2016,1,17,20,33.64
2016,1,17,21,33.64
2016,1,17,22,33.64
2016,1,17,23,33.64
2016,1,17,24,33.64
2016,1,18,1,33.5
2016,1,18,2,33.5
2016,1,18,3,33.5
2016,1,18,4,33.5
2016,1,18,5,33.5
2016,1,18,6,33.5
2016,1,18,7,33.5
2016,1,18,8,33.5
2016,1,18,9,33.5
2016,1,18,10,33.5
2016,1,18,11,33.5
2016,1,18,12,33.5
