year,month,day,hour,Node1,Node2,Buyer
2016,1,1,1,401.8,58.4,24.831
2016,1,1,2,390.9,56.8,24.831
2016,1,1,3,375.7,54.6,24.831
2016,1,1,4,367.3,53.3,24.831
2016,1,1,5,365.6,53.1,24.831
2016,1,1,6,375.3,54.5,24.831
2016,1,1,7,449.8,65.4,24.831
2016,1,1,8,536.4,78,24.831
2016,1,1,9,580.6,84.4,24.831
2016,1,1,10,581.2,84.5,24.831
2016,1,1,11,554.2,80.5,24.831
2016,1,1,12,531.9,77.3,24.831
2016,1,1,13,578.7,84.1,24.831
2016,1,1,14,600.2,87.2,24.831
2016,1,1,15,575.5,83.6,24.831
2016,1,1,16,546.4,79.5,24.831
2016,1,1,17,496.6,72.1,24.831
2016,1,1,18,478.3,69.5,24.831
2016,1,1,19,508.4,73.9,24.831
2016,1,1,20,510.3,74.1,24.831
2016,1,1,21,521.3,75.8,24.831
2016,1,1,22,486.7,70.8,24.831
2016,1,1,23,447.7,65,24.831
2016,1,1,24,424.4,61.7,24.831
2016,1,2,1,361.6,52.5,24.579
2016,1,2,2,351.7,51.2,24.579
2016,1,2,3,338.2,49.2,24.579
2016,1,2,4,330.5,48,24.579
2016,1,2,5,329.1,47.8,24.579
2016,1,2,6,337.7,49.1,24.579
2016,1,2,7,404.8,58.8,24.579
2016,1,2,8,482.8,70.2,24.579
2016,1,2,9,522.5,75.9,24.579
2016,1,2,10,523.2,76,24.579
2016,1,2,11,498.7,72.5,24.579
2016,1,2,12,478.7,69.5,24.579
2016,1,2,13,520.9,75.7,24.579
2016,1,2,14,540.2,78.5,24.579
2016,1,2,15,517.9,75.3,24.579
2016,1,2,16,491.8,71.5,24.579
2016,1,2,17,446.9,64.9,24.579
2016,1,2,18,430.5,62.5,24.579
2016,1,2,19,457.6,66.5,24.579
2016,1,2,20,459.3,66.7,24.579
2016,1,2,21,469.1,68.2,24.579
2016,1,2,22,438.1,63.7,24.579
2016,1,2,23,402.9,58.6,24.579
2016,1,2,24,382,55.5,24.579
2016,1,3,1,361.6,52.5,24.327
2016,1,3,2,351.7,51.2,24.327
2016,1,3,3,338.2,49.2,24.327
2016,1,3,4,330.5,48,24.327
2016,1,3,5,329.1,47.8,24.327
2016,1,3,6,337.7,49.1,24.327
2016,1,3,7,404.8,58.8,24.327
2016,1,3,8,482.8,70.2,24.327
2016,1,3,9,522.5,75.9,24.327
2016,1,3,10,523.2,76,24.327
2016,1,3,11,498.7,72.5,24.327
2016,1,3,12,478.7,69.5,24.327
2016,1,3,13,520.9,75.7,24.327
2016,1,3,14,540.2,78.5,24.327
2016,1,3,15,517.9,75.3,24.327
2016,1,3,16,491.8,71.5,24.327
2016,1,3,17,446.9,64.9,24.327
2016,1,3,18,430.5,62.5,24.327
2016,1,3,19,457.6,66.5,24.327
2016,1,3,20,459.3,66.7,24.327
2016,1,3,21,469.1,68.2,24.327
2016,1,3,22,438.1,63.7,24.327
2016,1,3,23,402.9,58.6,24.327
2016,1,3,24,382,55.5,24.327
2016,1,4,1,401.8,58.4,19.665
2016,1,4,2,390.9,56.8,19.665
2016,1,4,3,375.7,54.6,19.665
2016,1,4,4,367.3,53.3,19.665
2016,1,4,5,365.6,53.1,19.665
2016,1,4,6,375.3,54.5,19.665
2016,1,4,7,449.8,65.4,19.665
2016,1,4,8,536.4,78,19.665
2016,1,4,9,580.6,84.4,19.665
2016,1,4,10,581.2,84.5,19.665
2016,1,4,11,554.2,80.5,19.665
2016,1,4,12,531.9,77.3,19.665
2016,1,4,13,578.7,84.1,19.665
2016,1,4,14,600.2,87.2,19.665
2016,1,4,15,575.5,83.6,19.665
2016,1,4,16,546.4,79.5,19.665
2016,1,4,17,496.6,72.1,19.665
2016,1,4,18,478.3,69.5,19.665
2016,1,4,19,508.4,73.9,19.665
2016,1,4,20,510.3,74.1,19.665
2016,1,4,21,521.3,75.8,19.665
2016,1,4,22,486.7,70.8,19.665
2016,1,4,23,447.7,65,19.665
2016,1,4,24,424.4,61.7,19.665
2016,1,5,1,401.8,58.4,18.468
2016,1,5,2,390.9,56.8,18.468
2016,1,5,3,375.7,54.6,18.468
2016,1,5,4,367.3,53.3,18.468
2016,1,5,5,365.6,53.1,18.468
2016,1,5,6,375.3,54.5,18.468
2016,1,5,7,449.8,65.4,18.468
2016,1,5,8,536.4,78,18.468
2016,1,5,9,580.6,84.4,18.468
2016,1,5,10,581.2,84.5,18.468
2016,1,5,11,554.2,80.5,18.468
2016,1,5,12,531.9,77.3,18.468
2016,1,5,13,578.7,84.1,18.468
2016,1,5,14,600.2,87.2,18.468
2016,1,5,15,575.5,83.6,18.468
2016,1,5,16,546.4,79.5,18.468
2016,1,5,17,496.6,72.1,18.468
2016,1,5,18,478.3,69.5,18.468
2016,1,5,19,508.4,73.9,18.468
2016,1,5,20,510.3,74.1,18.468
2016,1,5,21,521.3,75.8,18.468
2016,1,5,22,486.7,70.8,18.468
2016,1,5,23,447.7,65,18.468
2016,1,5,24,424.4,61.7,18.468
2016,1,6,1,401.8,58.4,18.135
2016,1,6,2,390.9,56.8,18.135
2016,1,6,3,375.7,54.6,18.135
2016,1,6,4,367.3,53.3,18.135
2016,1,6,5,365.6,53.1,18.135
2016,1,6,6,375.3,54.5,18.135
2016,1,6,7,449.8,65.4,18.135
2016,1,6,8,536.4,78,18.135
2016,1,6,9,580.6,84.4,18.135
2016,1,6,10,581.2,84.5,18.135
2016,1,6,11,554.2,80.5,18.135
2016,1,6,12,531.9,77.3,18.135
2016,1,6,13,578.7,84.1,18.135
2016,1,6,14,600.2,87.2,18.135
2016,1,6,15,575.5,83.6,18.135
2016,1,6,16,546.4,79.5,18.135
2016,1,6,17,496.6,72.1,18.135
2016,1,6,18,478.3,69.5,18.135
2016,1,6,19,508.4,73.9,18.135
2016,1,6,20,510.3,74.1,18.135
2016,1,6,21,521.3,75.8,18.135
2016,1,6,22,486.7,70.8,18.135
2016,1,6,23,447.7,65,18.135
2016,1,6,24,424.4,61.7,18.135
2016,1,7,1,401.8,58.4,17.811
2016,1,7,2,390.9,56.8,17.811
2016,1,7,3,375.7,54.6,17.811
2016,1,7,4,367.3,53.3,17.811
2016,1,7,5,365.6,53.1,17.811
2016,1,7,6,375.3,54.5,17.811
2016,1,7,7,449.8,65.4,17.811
2016,1,7,8,536.4,78,17.811
2016,1,7,9,580.6,84.4,17.811
2016,1,7,10,581.2,84.5,17.811
2016,1,7,11,554.2,80.5,17.811
2016,1,7,12,531.9,77.3,17.811
2016,1,7,13,578.7,84.1,17.811
2016,1,7,14,600.2,87.2,17.811
2016,1,7,15,575.5,83.6,17.811
2016,1,7,16,546.4,79.5,17.811
2016,1,7,17,496.6,72.1,17.811
2016,1,7,18,478.3,69.5,17.811
2016,1,7,19,508.4,73.9,17.811
2016,1,7,20,510.3,74.1,17.811
2016,1,7,21,521.3,75.8,17.811
2016,1,7,22,486.7,70.8,17.811
2016,1,7,23,447.7,65,17.811
2016,1,7,24,424.4,61.7,17.811
2016,1,8,1,401.8,58.4,17.496
2016,1,8,2,390.9,56.8,17.496
2016,1,8,3,375.7,54.6,17.496
2016,1,8,4,367.3,53.3,17.496
2016,1,8,5,365.6,53.1,17.496
2016,1,8,6,375.3,54.5,17.496
2016,1,8,7,449.8,65.4,17.496
2016,1,8,8,536.4,78,17.496
2016,1,8,9,580.6,84.4,17.496
2016,1,8,10,581.2,84.5,17.496
2016,1,8,11,554.2,80.5,17.496
2016,1,8,12,531.9,77.3,17.496
2016,1,8,13,578.7,84.1,17.496
2016,1,8,14,600.2,87.2,17.496
2016,1,8,15,575.5,83.6,17.496
2016,1,8,16,546.4,79.5,17.496
2016,1,8,17,496.6,72.1,17.496
2016,1,8,18,478.3,69.5,17.496
2016,1,8,19,508.4,73.9,17.496
2016,1,8,20,510.3,74.1,17.496
2016,1,8,21,521.3,75.8,17.496
2016,1,8,22,486.7,70.8,17.496
2016,1,8,23,447.7,65,17.496
2016,1,8,24,424.4,61.7,17.496
2016,1,9,1,361.6,52.5,17.199
2016,1,9,2,351.7,51.2,17.199
2016,1,9,3,338.2,49.2,17.199
2016,1,9,4,330.5,48,17.199
2016,1,9,5,329.1,47.8,17.199
2016,1,9,6,337.7,49.1,17.199
2016,1,9,7,404.8,58.8,17.199
2016,1,9,8,482.8,70.2,17.199
2016,1,9,9,522.5,75.9,17.199
2016,1,9,10,523.2,76,17.199
2016,1,9,11,498.7,72.5,17.199
2016,1,9,12,478.7,69.5,17.199
2016,1,9,13,520.9,75.7,17.199
2016,1,9,14,540.2,78.5,17.199
2016,1,9,15,517.9,75.3,17.199
2016,1,9,16,491.8,71.5,17.199
2016,1,9,17,446.9,64.9,17.199
2016,1,9,18,430.5,62.5,17.199
2016,1,9,19,457.6,66.5,17.199
2016,1,9,20,459.3,66.7,17.199
2016,1,9,21,469.1,68.2,17.199
2016,1,9,22,438.1,63.7,17.199
2016,1,9,23,402.9,58.6,17.199
2016,1,9,24,382,55.5,17.199
2016,1,10,1,361.6,52.5,16.911
2016,1,10,2,351.7,51.2,16.911
2016,1,10,3,338.2,49.2,16.911
2016,1,10,4,330.5,48,16.911
2016,1,10,5,329.1,47.8,16.911
2016,1,10,6,337.7,49.1,16.911
2016,1,10,7,404.8,58.8,16.911
2016,1,10,8,482.8,70.2,16.911
2016,1,10,9,522.5,75.9,16.911
2016,1,10,10,523.2,76,16.911
2016,1,10,11,498.7,72.5,16.911
2016,1,10,12,478.7,69.5,16.911
2016,1,10,13,520.9,75.7,16.911
2016,1,10,14,540.2,78.5,16.911
2016,1,10,15,517.9,75.3,16.911
2016,1,10,16,491.8,71.5,16.911
2016,1,10,17,446.9,64.9,16.911
2016,1,10,18,430.5,62.5,16.911
2016,1,10,19,457.6,66.5,16.911
2016,1,10,20,459.3,66.7,16.911
2016,1,10,21,469.1,68.2,16.911
2016,1,10,22,438.1,63.7,16.911
2016,1,10,23,402.9,58.6,16.911
2016,1,10,24,382,55.5,16.911
2016,1,11,1,401.8,58.4,16.632
2016,1,11,2,390.9,56.8,16.632
2016,1,11,3,375.7,54.6,16.632
2016,1,11,4,367.3,53.3,16.632
2016,1,11,5,365.6,53.1,16.632
2016,1,11,6,375.3,54.5,16.632
2016,1,11,7,449.8,65.4,16.632
2016,1,11,8,536.4,78,16.632
2016,1,11,9,580.6,84.4,16.632
2016,1,11,10,581.2,84.5,16.632
2016,1,11,11,554.2,80.5,16.632
2016,1,11,12,531.9,77.3,16.632
2016,1,11,13,578.7,84.1,16.632
2016,1,11,14,600.2,87.2,16.632
2016,1,11,15,575.5,83.6,16.632
2016,1,11,16,546.4,79.5,16.632
2016,1,11,17,496.6,72.1,16.632
2016,1,11,18,478.3,69.5,16.632
2016,1,11,19,508.4,73.9,16.632
2016,1,11,20,510.3,74.1,16.632
2016,1,11,21,521.3,75.8,16.632
2016,1,11,22,486.7,70.8,16.632
2016,1,11,23,447.7,65,16.632
2016,1,11,24,424.4,61.7,16.632
2016,1,12,1,401.8,58.4,16.353
2016,1,12,2,390.9,56.8,16.353
2016,1,12,3,375.7,54.6,16.353
2016,1,12,4,367.3,53.3,16.353
2016,1,12,5,365.6,53.1,16.353
2016,1,12,6,375.3,54.5,16.353
2016,1,12,7,449.8,65.4,16.353
2016,1,12,8,536.4,78,16.353
2016,1,12,9,580.6,84.4,16.353
2016,1,12,10,581.2,84.5,16.353
2016,1,12,11,554.2,80.5,16.353
2016,1,12,12,531.9,77.3,16.353
2016,1,12,13,578.7,84.1,16.353
2016,1,12,14,600.2,87.2,16.353
2016,1,12,15,575.5,83.6,16.353
2016,1,12,16,546.4,79.5,16.353
2016,1,12,17,496.6,72.1,16.353
2016,1,12,18,478.3,69.5,16.353
2016,1,12,19,508.4,73.9,16.353
2016,1,12,20,510.3,74.1,16.353
2016,1,12,21,521.3,75.8,16.353
2016,1,12,22,486.7,70.8,16.353
2016,1,12,23,447.7,65,16.353
2016,1,12,24,424.4,61.7,16.353
2016,1,13,1,401.8,58.4,16.092
2016,1,13,2,390.9,56.8,16.092
2016,1,13,3,375.7,54.6,16.092
2016,1,13,4,367.3,53.3,16.092
2016,1,13,5,365.6,53.1,16.092
2016,1,13,6,375.3,54.5,16.092
2016,1,13,7,449.8,65.4,16.092
2016,1,13,8,536.4,78,16.092
2016,1,13,9,580.6,84.4,16.092
2016,1,13,10,581.2,84.5,16.092
2016,1,13,11,554.2,80.5,16.092
2016,1,13,12,531.9,77.3,16.092
2016,1,13,13,578.7,84.1,16.092
2016,1,13,14,600.2,87.2,16.092
2016,1,13,15,575.5,83.6,16.092
2016,1,13,16,546.4,79.5,16.092
2016,1,13,17,496.6,72.1,16.092
2016,1,13,18,478.3,69.5,16.092
2016,1,13,19,508.4,73.9,16.092
2016,1,13,20,510.3,74.1,16.092
2016,1,13,21,521.3,75.8,16.092
2016,1,13,22,486.7,70.8,16.092
2016,1,13,23,447.7,65,16.092
2016,1,13,24,424.4,61.7,16.092
2016,1,14,1,401.8,58.4,15.84
2016,1,14,2,390.9,56.8,15.84
2016,1,14,3,375.7,54.6,15.84
2016,1,14,4,367.3,53.3,15.84
2016,1,14,5,365.6,53.1,15.84
2016,1,14,6,375.3,54.5,15.84
2016,1,14,7,449.8,65.4,15.84
2016,1,14,8,536.4,78,15.84
2016,1,14,9,580.6,84.4,15.84
2016,1,14,10,581.2,84.5,15.84
2016,1,14,11,554.2,80.5,15.84
2016,1,14,12,531.9,77.3,15.84
2016,1,14,13,578.7,84.1,15.84
2016,1,14,14,600.2,87.2,15.84
2016,1,14,15,575.5,83.6,15.84
2016,1,14,16,546.4,79.5,15.84
2016,1,14,17,496.6,72.1,15.84
2016,1,14,18,478.3,69.5,15.84
2016,1,14,19,508.4,73.9,15.84
2016,1,14,20,510.3,74.1,15.84
2016,1,14,21,521.3,75.8,15.84
2016,1,14,22,486.7,70.8,15.84
2016,1,14,23,447.7,65,15.84
2016,1,14,24,424.4,61.7,15.84
2016,1,15,1,401.8,58.4,15.597
2016,1,15,2,390.9,56.8,15.597
2016,1,15,3,375.7,54.6,15.597
2016,1,15,4,367.3,53.3,15.597
2016,1,15,5,365.6,53.1,15.597
2016,1,15,6,375.3,54.5,15.597
2016,1,15,7,449.8,65.4,15.597
2016,1,15,8,536.4,78,15.597
2016,1,15,9,580.6,84.4,15.597
2016,1,15,10,581.2,84.5,15.597
2016,1,15,11,554.2,80.5,15.597
2016,1,15,12,531.9,77.3,15.597
2016,1,15,13,578.7,84.1,15.597
2016,1,15,14,600.2,87.2,15.597
2016,1,15,15,575.5,83.6,15.597
2016,1,15,16,546.4,79.5,15.597
2016,1,15,17,496.6,72.1,15.597
2016,1,15,18,478.3,69.5,15.597
2016,1,15,19,508.4,73.9,15.597
2016,1,15,20,510.3,74.1,15.597
2016,1,15,21,521.3,75.8,15.597
2016,1,15,22,486.7,70.8,15.597
2016,1,15,23,447.7,65,15.597
2016,1,15,24,424.4,61.7,15.597
2016,1,16,1,361.6,52.5,15.363
2016,1,16,2,351.7,51.2,15.363
2016,1,16,3,338.2,49.2,15.363
2016,1,16,4,330.5,48,15.363
2016,1,16,5,329.1,47.8,15.363
2016,1,16,6,337.7,49.1,15.363
2016,1,16,7,404.8,58.8,15.363
2016,1,16,8,482.8,70.2,15.363
2016,1,16,9,522.5,75.9,15.363
2016,1,16,10,523.2,76,15.363
2016,1,16,11,498.7,72.5,15.363
2016,1,16,12,478.7,69.5,15.363
2016,1,16,13,520.9,75.7,15.363
2016,1,16,14,540.2,78.5,15.363
2016,1,16,15,517.9,75.3,15.363
2016,1,16,16,491.8,71.5,15.363
2016,1,16,17,446.9,64.9,15.363
2016,1,16,18,430.5,62.5,15.363
2016,1,16,19,457.6,66.5,15.363
2016,1,16,20,459.3,66.7,15.363
2016,1,16,21,469.1,68.2,15.363
2016,1,16,22,438.1,63.7,15.363
2016,1,16,23,402.9,58.6,15.363
2016,1,16,24,382,55.5,15.363
2016,1,17,1,361.6,52.5,15.138
2016,1,17,2,351.7,51.2,15.138
2016,1,17,3,338.2,49.2,15.138
2016,1,17,4,330.5,48,15.138
2016,1,17,5,329.1,47.8,15.138
2016,1,17,6,337.7,49.1,15.138
2016,1,17,7,404.8,58.8,15.138
2016,1,17,8,482.8,70.2,15.138
2016,1,17,9,522.5,75.9,15.138
2016,1,17,10,523.2,76,15.138
2016,1,17,11,498.7,72.5,15.138
2016,1,17,12,478.7,69.5,15.138
2016,1,17,13,520.9,75.7,15.138
2016,1,17,14,540.2,78.5,15.138
2016,1,17,15,517.9,75.3,15.138
2016,1,17,16,491.8,71.5,15.138
2016,1,17,17,446.9,64.9,15.138
2016,1,17,18,430.5,62.5,15.138
2016,1,17,19,457.6,66.5,15.138
2016,1,17,20,459.3,66.7,15.138
2016,1,17,21,469.1,68.2,15.138
2016,1,17,22,438.1,63.7,15.138
2016,1,17,23,402.9,58.6,15.138
2016,1,17,24,382,55.5,15.138
2016,1,18,1,401.8,58.4,15.075
2016,1,18,2,390.9,56.8,15.075
2016,1,18,3,375.7,54.6,15.075
2016,1,18,4,367.3,53.3,15.075
2016,1,18,5,365.6,53.1,15.075
2016,1,18,6,375.3,54.5,15.075
2016,1,18,7,449.8,65.4,15.075
2016,1,18,8,536.4,78,15.075
2016,1,18,9,580.6,84.4,15.075
2016,1,18,10,581.2,84.5,15.075
2016,1,18,11,554.2,80.5,15.075
2016,1,18,12,531.9,77.3,15.075
2016,1,18,13,578.7,84.1,15.075
2016,1,18,14,600.2,87.2,15.075
2016,1,18,15,575.5,83.6,15.075
2016,1,18,16,546.4,79.5,15.075
2016,1,18,17,496.6,72.1,15.075
2016,1,18,18,478.3,69.5,15.075
2016,1,18,19,508.4,73.9,15.075
2016,1,18,20,510.3,74.1,15.075
2016,1,18,21,521.3,75.8,15.075
2016,1,18,22,486.7,70.8,15.075
2016,1,18,23,447.7,65,15.075
2016,1,18,24,424.4,61.7,15.075
2016,1,19,1,401.8,58.4,15.147
2016,1,19,2,390.9,56.8,15.147
2016,1,19,3,375.7,54.6,15.147
2016,1,19,4,367.3,53.3,15.147
2016,1,19,5,365.6,53.1,15.147
2016,1,19,6,375.3,54.5,15.147
2016,1,19,7,449.8,65.4,15.147
2016,1,19,8,536.4,78,15.147
2016,1,19,9,580.6,84.4,15.147
2016,1,19,10,581.2,84.5,15.147
2016,1,19,11,554.2,80.5,15.147
2016,1,19,12,531.9,77.3,15.147
2016,1,19,13,578.7,84.1,15.147
2016,1,19,14,600.2,87.2,15.147
2016,1,19,15,575.5,83.6,15.147
2016,1,19,16,546.4,79.5,15.147
2016,1,19,17,496.6,72.1,15.147
2016,1,19,18,478.3,69.5,15.147
2016,1,19,19,508.4,73.9,15.147
2016,1,19,20,510.3,74.1,15.147
2016,1,19,21,521.3,75.8,15.147
2016,1,19,22,486.7,70.8,15.147
2016,1,19,23,447.7,65,15.147
2016,1,19,24,424.4,61.7,15.147
2016,1,20,1,401.8,58.4,14.814
2016,1,20,2,390.9,56.8,14.814
2016,1,20,3,375.7,54.6,14.814
2016,1,20,4,367.3,53.3,14.814
2016,1,20,5,365.6,53.1,14.814
2016,1,20,6,375.3,54.5,14.814
2016,1,20,7,449.8,65.4,14.814
2016,1,20,8,536.4,78,14.814
2016,1,20,9,580.6,84.4,14.814
2016,1,20,10,581.2,84.5,14.814
2016,1,20,11,554.2,80.5,14.814
2016,1,20,12,531.9,77.3,14.814
2016,1,20,13,578.7,84.1,14.814
2016,1,20,14,600.2,87.2,14.814
2016,1,20,15,575.5,83.6,14.814
2016,1,20,16,546.4,79.5,14.814
2016,1,20,17,496.6,72.1,14.814
2016,1,20,18,478.3,69.5,14.814
2016,1,20,19,508.4,73.9,14.814
2016,1,20,20,510.3,74.1,14.814
2016,1,20,21,521.3,75.8,14.814
2016,1,20,22,486.7,70.8,14.814
2016,1,20,23,447.7,65,14.814
2016,1,20,24,424.4,61.7,14.814
2016,1,21,1,401.8,58.4,14.328
2016,1,21,2,390.9,56.8,14.328
2016,1,21,3,375.7,54.6,14.328
2016,1,21,4,367.3,53.3,14.328
2016,1,21,5,365.6,53.1,14.328
2016,1,21,6,375.3,54.5,14.328
2016,1,21,7,449.8,65.4,14.328
2016,1,21,8,536.4,78,14.328
2016,1,21,9,580.6,84.4,14.328
2016,1,21,10,581.2,84.5,14.328
2016,1,21,11,554.2,80.5,14.328
2016,1,21,12,531.9,77.3,14.328
2016,1,21,13,578.7,84.1,14.328
2016,1,21,14,600.2,87.2,14.328
2016,1,21,15,575.5,83.6,14.328
2016,1,21,16,546.4,79.5,14.328
2016,1,21,17,496.6,72.1,14.328
2016,1,21,18,478.3,69.5,14.328
2016,1,21,19,508.4,73.9,14.328
2016,1,21,20,510.3,74.1,14.328
2016,1,21,21,521.3,75.8,14.328
2016,1,21,22,486.7,70.8,14.328
2016,1,21,23,447.7,65,14.328
2016,1,21,24,424.4,61.7,14.328
2016,1,22,1,401.8,58.4,14.112
2016,1,22,2,390.9,56.8,14.112
2016,1,22,3,375.7,54.6,14.112
2016,1,22,4,367.3,53.3,14.112
2016,1,22,5,365.6,53.1,14.112
2016,1,22,6,375.3,54.5,14.112
2016,1,22,7,449.8,65.4,14.112
2016,1,22,8,536.4,78,14.112
2016,1,22,9,580.6,84.4,14.112
2016,1,22,10,581.2,84.5,14.112
2016,1,22,11,554.2,80.5,14.112
2016,1,22,12,531.9,77.3,14.112
2016,1,22,13,578.7,84.1,14.112
2016,1,22,14,600.2,87.2,14.112
2016,1,22,15,575.5,83.6,14.112
2016,1,22,16,546.4,79.5,14.112
2016,1,22,17,496.6,72.1,14.112
2016,1,22,18,478.3,69.5,14.112
2016,1,22,19,508.4,73.9,14.112
2016,1,22,20,510.3,74.1,14.112
2016,1,22,21,521.3,75.8,14.112
2016,1,22,22,486.7,70.8,14.112
2016,1,22,23,447.7,65,14.112
2016,1,22,24,424.4,61.7,14.112
2016,1,23,1,361.6,52.5,13.923
2016,1,23,2,351.7,51.2,13.923
2016,1,23,3,338.2,49.2,13.923
2016,1,23,4,330.5,48,13.923
2016,1,23,5,329.1,47.8,13.923
2016,1,23,6,337.7,49.1,13.923
2016,1,23,7,404.8,58.8,13.923
2016,1,23,8,482.8,70.2,13.923
2016,1,23,9,522.5,75.9,13.923
2016,1,23,10,523.2,76,13.923
2016,1,23,11,498.7,72.5,13.923
2016,1,23,12,478.7,69.5,13.923
2016,1,23,13,520.9,75.7,13.923
2016,1,23,14,540.2,78.5,13.923
2016,1,23,15,517.9,75.3,13.923
2016,1,23,16,491.8,71.5,13.923
2016,1,23,17,446.9,64.9,13.923
2016,1,23,18,430.5,62.5,13.923
2016,1,23,19,457.6,66.5,13.923
2016,1,23,20,459.3,66.7,13.923
2016,1,23,21,469.1,68.2,13.923
2016,1,23,22,438.1,63.7,13.923
2016,1,23,23,402.9,58.6,13.923
2016,1,23,24,382,55.5,13.923
2016,1,24,1,361.6,52.5,13.743
2016,1,24,2,351.7,51.2,13.743
2016,1,24,3,338.2,49.2,13.743
2016,1,24,4,330.5,48,13.743
2016,1,24,5,329.1,47.8,13.743
2016,1,24,6,337.7,49.1,13.743
2016,1,24,7,404.8,58.8,13.743
2016,1,24,8,482.8,70.2,13.743
2016,1,24,9,522.5,75.9,13.743
2016,1,24,10,523.2,76,13.743
2016,1,24,11,498.7,72.5,13.743
2016,1,24,12,478.7,69.5,13.743
2016,1,24,13,520.9,75.7,13.743
2016,1,24,14,540.2,78.5,13.743
2016,1,24,15,517.9,75.3,13.743
2016,1,24,16,491.8,71.5,13.743
2016,1,24,17,446.9,64.9,13.743
2016,1,24,18,430.5,62.5,13.743
2016,1,24,19,457.6,66.5,13.743
2016,1,24,20,459.3,66.7,13.743
2016,1,24,21,469.1,68.2,13.743
2016,1,24,22,438.1,63.7,13.743
2016,1,24,23,402.9,58.6,13.743
2016,1,24,24,382,55.5,13.743
2016,1,25,1,401.8,58.4,13.563
2016,1,25,2,390.9,56.8,13.563
2016,1,25,3,375.7,54.6,13.563
2016,1,25,4,367.3,53.3,13.563
2016,1,25,5,365.6,53.1,13.563
2016,1,25,6,375.3,54.5,13.563
2016,1,25,7,449.8,65.4,13.563
2016,1,25,8,536.4,78,13.563
2016,1,25,9,580.6,84.4,13.563
2016,1,25,10,581.2,84.5,13.563
2016,1,25,11,554.2,80.5,13.563
2016,1,25,12,531.9,77.3,13.563
2016,1,25,13,578.7,84.1,13.563
2016,1,25,14,600.2,87.2,13.563
2016,1,25,15,575.5,83.6,13.563
2016,1,25,16,546.4,79.5,13.563
2016,1,25,17,496.6,72.1,13.563
2016,1,25,18,478.3,69.5,13.563
2016,1,25,19,508.4,73.9,13.563
2016,1,25,20,510.3,74.1,13.563
2016,1,25,21,521.3,75.8,13.563
2016,1,25,22,486.7,70.8,13.563
2016,1,25,23,447.7,65,13.563
2016,1,25,24,424.4,61.7,13.563
2016,1,26,1,401.8,58.4,13.383
2016,1,26,2,390.9,56.8,13.383
2016,1,26,3,375.7,54.6,13.383
2016,1,26,4,367.3,53.3,13.383
2016,1,26,5,365.6,53.1,13.383
2016,1,26,6,375.3,54.5,13.383
2016,1,26,7,449.8,65.4,13.383
2016,1,26,8,536.4,78,13.383
2016,1,26,9,580.6,84.4,13.383
2016,1,26,10,581.2,84.5,13.383
2016,1,26,11,554.2,80.5,13.383
2016,1,26,12,531.9,77.3,13.383
2016,1,26,13,578.7,84.1,13.383
2016,1,26,14,600.2,87.2,13.383
2016,1,26,15,575.5,83.6,13.383
2016,1,26,16,546.4,79.5,13.383
2016,1,26,17,496.6,72.1,13.383
